AIN0
0.0860481485724449,
0.100037544965744,
0.115133456885815,
0.136078029870987,
0.155916109681129,
0.178757563233376,
0.203574910759926,
0.2342409491539,
0.264669865369797,
0.293834209442139,
0.317703127861023,
0.33374747633934,
0.346946507692337,
0.36038264632225,
0.380299776792526,
0.396818339824677,
0.411756157875061,
0.42139858007431,
0.428827971220016,
0.432937860488892,
0.439418822526932,
0.45119521021843,
0.461232781410217,
0.466133028268814,
0.472376883029938,
0.481545090675354,
0.494190871715546,
0.506520509719849,
0.513159573078156,
0.518375933170319,
0.522169649600983,
0.530231356620789,
0.543825566768646,
0.565955698490143,
0.587295472621918,
0.606975495815277,
0.625232815742493,
0.651077628135681,
0.691148996353149,
0.748371183872223,
0.796741306781769,
0.837998151779175,
0.865423738956451,
0.88707959651947,
0.905732154846191,
0.925807356834412,
0.959081590175629,
0.992434799671173,
1.0185958147049,
1.03835487365723,
1.05163288116455,
1.05669116973877,
1.04681169986725,
1.02420735359192,
0.99267190694809,
0.95528781414032,
0.906522512435913,
0.844004929065704,
0.78931188583374,
0.719601988792419,
0.638273775577545,
0.537581741809845,
0.432937860488892,
0.345128685235977,
0.258979260921478,
0.190375879406929,
0.151648163795471,
0.125645264983177,
0.113631770014763,
0.106755621731281,
0.0984568223357201,
0.0925291106104851,
0.0852577835321426,
0.0753782689571381,
0.0632857382297516,
0.0533271767199039,
0.0452654920518398,
0.0369666926562786,
0.0330939218401909,
0.0319874137639999,
0.0338052473962307,
0.0395748876035213,
0.0451074168086052,
0.0518254898488522,
0.0573580227792263,
0.06826501339674,
0.0757734477519989,
0.0858900770545006,
0.0977455005049706,
0.107941165566444,
0.120033696293831,
0.140187919139862,
0.17354117333889,
0.223175883293152,
0.269965291023254,
0.335486263036728,
0.433016896247864,
0.526911854743958,
0.615590393543243,
0.721498847007751,
0.825273334980011,
0.918377935886383,
1.00926947593689,
1.09960782527924,
1.173743724823,
1.2312821149826,
1.28913652896881,
1.3265997171402,
1.35805606842041,
1.38492834568024,
1.4301370382309,
1.46040797233582,
1.49218046665192,
1.53754723072052,
1.56054675579071,
1.58386242389679,
1.60686194896698,
1.61397516727448,
1.61278963088989,
1.61168313026428,
1.6104975938797,
1.62954533100128,
1.66866815090179,
1.69862294197083,
1.70826530456543,
1.69664704799652,
1.65965807437897,
1.56694865226746,
1.46056604385376,
1.35821413993835,
1.23736786842346,
1.08893799781799,
0.91316157579422,
0.744498372077942,
0.581288695335388,
0.424006760120392,
0.315173983573914,
0.241354197263718,
0.225546970963478,
0.220488652586937,
0.214086726307869,
0.208238050341606,
0.204286247491837,
0.201519981026649,
0.199465036392212,
0.197093948721886,
0.200097322463989,
0.207842871546745,
0.227127686142921,
0.250917583703995,
0.289645284414291,
0.334379762411118,
0.378560960292816,
0.445820748806,
0.494665086269379,
0.539004385471344,
0.599467039108276,
0.668228507041931,
0.771370708942413,
0.904783725738525,
1.01243102550507,
1.11296498775482,
1.2032243013382,
1.27854573726654,
1.33118379116058,
1.40824401378632,
1.45874810218811,
1.509805560112,
1.55106234550476,
1.57627487182617,
1.60053908824921,
1.61855924129486,
1.63160026073456,
1.63863444328308,
1.65562725067139,
1.65989518165588,
1.66179203987122,
1.6544417142868,
1.62077224254608,
1.54963970184326,
1.49708068370819,
1.45574474334717,
1.41930913925171,
1.35702860355377,
1.33892929553986,
1.31513941287994,
1.28352499008179,
1.22970139980316,
1.13082718849182,
1.02325892448425,
0.888265192508698,
0.723079562187195,
0.544378817081451,
0.421793758869171,
0.353506505489349,
0.306875169277191,
0.269886255264282,
0.240089625120163,
0.212189853191376,
0.188716113567352,
0.152043342590332,
0.126751765608788,
0.10920574516058,
0.106202371418476,
0.114738270640373,
0.131652012467384,
0.150620684027672,
0.169115155935287,
0.200334429740906,
0.241354197263718,
0.286009639501572,
0.358801931142807,
0.453250139951706,
0.556234240531921,
0.697155714035034,
0.822269976139069,
0.961373627185822,
1.06973218917847,
1.19026231765747,
1.30747294425964,
1.4023163318634,
1.48498821258545,
1.53470194339752,
1.58149135112762,
1.62140452861786,
1.65459978580475,
1.68510770797729,
1.70684266090393,
1.7219386100769,
1.73000025749207,
1.73150193691254,
1.72628557682037,
1.71956753730774,
1.72154343128204,
1.72494196891785,
1.72873568534851,
1.7318971157074,
1.72636461257935,
1.70336508750916,
1.68328988552094,
1.68147206306458,
1.68834817409515,
1.69119346141815,
1.70257472991943,
1.71490430831909,
1.72162246704102,
1.71616888046265,
1.69696319103241,
1.67451691627502,
1.64843499660492,
1.65238678455353,
1.65499496459961,
1.66503250598907,
1.6765718460083,
